sha256,filepath,label
57194f7b2081e92d925309e72c7e9f3dc9ac7a1b100610e1f5ded573d747adb8,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (1).jpg,freshapple
b62432eefc04aee2750a764505caa2b982c75dc4e5641ef1efcd98059b9308b7,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (1).png,freshapple
274601c1f70d789598c9feeb96aa9c5632f6c77e31ec25886caf1d90117e5700,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (108).jpg,freshapple
2c781865191f57f88a0fc020a6032f8ae7b04cc3706f6fac498e6b1e0bf915a2,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (109).jpg,freshapple
18bf945589309ffaecc4ae935f2cd6afb21dbfd8ddf90b33acfbc28a28dabdbb,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (110).jpg,freshapple
1e7f2788ba8342b4376dbde83c900b217806bfc9ebf9a7def33b2e16bb549cc2,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (112).jpg,freshapple
6f1ddaea495ac87f55a5a6b5744b064007df682403c81d291ee6662909008ae7,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (113).jpg,freshapple
b0fa7d46ef987c4183617f2b2f29de1af96d6b66b7a360c953eed2a7fc1372db,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (131).jpg,freshapple
a5505924ba205e10f351693f4cdf3a88d33033e504b2f02f3a0b206af2a8f48e,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (134).jpg,freshapple
fc8d3cddd90b1125c7250d9b4f343a354db4dccbf5d5b0bc60102e2926b96e0a,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (142).jpg,freshapple
250b2460702ac7174e203a574f8c50889ca23c5f1113cc44e9d998f7a7574240,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (143).jpg,freshapple
3c51823786485d4903679c490028a9fcc9fd9f311570eb2841a032118128c04a,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (144).jpg,freshapple
ba1a7a023c027fcd7330466fdb4868a95f4f3c7e8aa0f0f3273cd1b87c228eda,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (145).jpg,freshapple
695ba020298ef6c0389267897efa2329485f28ce33ca21e7b8df148b06f70cf3,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (146).jpg,freshapple
2bf02f37068975c1b2bc81faaa7fad72dce379c6437833094ad81aa600b408a9,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (147).jpg,freshapple
545bd80b055602be3ebb396771bf6716729e713a5e5c1312415ffc1506e8b083,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (148).jpg,freshapple
cdcecfc94f7e334e88e824a3b106f5ed4056be81a4d798e941a0a588b0dabead,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (149).jpg,freshapple
1977ab87c44bfe5a2971323be8b092377bba1924ee76493f32ad64841113c5f6,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (150).jpg,freshapple
b1f8583f46d928ff20b4013b335ea49368ac51363bbd20bb326163ef7dc85549,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (151).jpg,freshapple
17f037eca04a56eb07d623f2da319cb5ede0b93049c35bea97fc44296f33f9f4,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (152).jpg,freshapple
2a34ce4df2099563b183298a0c23749183415d793d696f54bf9d2977e4c70e2e,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (153).jpg,freshapple
b80f836eb22b30be1c0bf63bba7070803b840b5a157ed5a60ccf97aac789a24f,C:\Users\76462\Desktop\9444 proj\dataset\Fruits_Vegetables_Dataset(12000)\Fruits\FreshApple\freshApple (154).jpg,freshapple
